id,code,name,level
code_804_01,804.01,CUFINRE,2
code_804_02,804.02,Contra cuenta CUFINRE,2
code_805,805,CUFINRE de ejercicios anteriores,1
code_805_01,805.01,CUFINRE de ejercicios anteriores,2
code_805_02,805.02,Contra cuenta CUFINRE de ejercicios anteriores,2
code_806,806,CUCA del ejercicio,1
code_806_01,806.01,CUCA,2
code_806_02,806.02,Contra cuenta CUCA,2
code_807,807,CUCA de ejercicios anteriores,1
code_807_01,807.01,CUCA de ejercicios anteriores,2
code_807_02,807.02,Contra cuenta CUCA de ejercicios anteriores,2
code_808,808,Ajuste anual por inflación acumulable,1
code_808_01,808.01,Ajuste anual por inflación acumulable,2
code_808_02,808.02,Acumulación del ajuste anual inflacionario,2
code_809,809,Ajuste anual por inflación deducible,1
code_809_01,809.01,Ajuste anual por inflación deducible,2
code_809_02,809.02,Deducción del ajuste anual inflacionario,2
code_810,810,Deducción de inversión,1
code_810_01,810.01,Deducción de inversión,2
code_810_02,810.02,Contra cuenta deducción de inversiones,2
code_811,811,Utilidad o pérdida fiscal en venta y/o baja de activo fijo,1
code_811_01,811.01,Utilidad o pérdida fiscal en venta y/o baja de activo fijo,2
code_811_02,811.02,Contra cuenta utilidad o pérdida fiscal en venta y/o baja de activo fijo,2
code_812,812,Utilidad o pérdida fiscal en venta acciones o partes sociales,1
code_812_01,812.01,Utilidad o pérdida fiscal en venta acciones o partes sociales,2
code_812_02,812.02,Contra cuenta utilidad o pérdida fiscal en venta acciones o partes sociales,2
code_813,813,Pérdidas fiscales pendientes de amortizar actualizadas de ejercicios anteriores,1
code_813_01,813.01,Pérdidas fiscales pendientes de amortizar actualizadas de ejercicios anteriores,2
code_813_02,813.02,Actualización de pérdidas fiscales pendientes de amortizar de ejercicios anteriores,2
code_814,814,Mercancías recibidas en consignación,1
code_814_01,814.01,Mercancías recibidas en consignación,2
code_814_02,814.02,Consignación de mercancías recibidas,2
code_815,815,Crédito fiscal de IVA e IEPS por la importación de mercancías para empresas certificadas,1
code_815_01,815.01,Crédito fiscal de IVA e IEPS por la importación de mercancías,2
code_815_02,815.02,Importación de mercancías con aplicación de crédito fiscal de IVA e IEPS,2
code_816,816,Crédito fiscal de IVA e IEPS por la importación de activo fijo para empresas certificadas,1
code_816_01,816.01,Crédito fiscal de IVA e IEPS por la importación de activo fijo,2
code_816_02,816.02,Importación de activo fijo con aplicación de crédito fiscal de IVA e IEPS,2
code_899,899,Otras cuentas de orden,1
code_899_01,899.01,Otras cuentas de orden,2
code_899_02,899.02,Contra cuenta otras cuentas de orden,2
code_n000,000,Código para uso exclusivo de contribuyentes del sector financiero,n
